epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,6295.32,1.03917,0.50517,1.01159,0.65086,0.63269,0.66128,0.46475,1.12397,0.47303,1.06429,0.000523586,0.000523586,0.000523586
66,6394.57,1.03116,0.49565,1.00833,0.61876,0.65638,0.65873,0.46138,1.12737,0.47464,1.06626,0.000509438,0.000509438,0.000509438
67,6493.41,1.02381,0.49386,1.00431,0.64626,0.62666,0.65927,0.46297,1.12335,0.47304,1.065,0.000495291,0.000495291,0.000495291
68,6591.87,1.02604,0.49692,1.01018,0.63925,0.64198,0.66063,0.4638,1.12707,0.47406,1.06491,0.000481144,0.000481144,0.000481144
69,6691.78,1.02355,0.49323,1.00662,0.66109,0.63539,0.66041,0.46202,1.12991,0.47368,1.067,0.000466997,0.000466997,0.000466997
70,6791.46,1.02647,0.49254,1.01101,0.62896,0.6521,0.66161,0.46297,1.12616,0.47308,1.0686,0.00045285,0.00045285,0.00045285
71,6889.72,1.02188,0.49014,1.00383,0.63455,0.63445,0.65694,0.46208,1.12473,0.47264,1.06727,0.000438703,0.000438703,0.000438703
72,6989.22,1.01708,0.48953,1.00574,0.63844,0.64082,0.65828,0.46224,1.12454,0.47188,1.06599,0.000424556,0.000424556,0.000424556
73,7087.05,1.02015,0.48603,1.00263,0.6316,0.65412,0.6588,0.46193,1.12732,0.47396,1.06848,0.000410409,0.000410409,0.000410409
74,7185.91,1.00575,0.47985,0.99591,0.63347,0.63769,0.6569,0.46258,1.12495,0.47495,1.06652,0.000396262,0.000396262,0.000396262
75,7285.46,1.021,0.48141,1.00329,0.65179,0.63057,0.65923,0.46387,1.12498,0.47241,1.06724,0.000382115,0.000382115,0.000382115
76,7384.33,1.00743,0.47684,1.0008,0.61663,0.66422,0.66032,0.4627,1.12538,0.47108,1.06911,0.000367967,0.000367967,0.000367967
77,7481.58,1.0021,0.47725,0.9974,0.61977,0.6615,0.65824,0.46267,1.12742,0.47423,1.07144,0.00035382,0.00035382,0.00035382
78,7579.29,1.00537,0.47457,0.9978,0.62026,0.65628,0.6577,0.46174,1.12909,0.47397,1.06921,0.000339673,0.000339673,0.000339673
79,7677.88,1.00441,0.47521,0.99634,0.63613,0.63428,0.6569,0.46094,1.12807,0.4735,1.07119,0.000325526,0.000325526,0.000325526
80,7776.76,0.99846,0.47063,0.99535,0.64611,0.64692,0.65784,0.4631,1.12745,0.4743,1.0701,0.000311379,0.000311379,0.000311379
81,7874.9,0.9924,0.4713,0.99048,0.65451,0.64045,0.65801,0.46245,1.13115,0.47615,1.07136,0.000297232,0.000297232,0.000297232
82,7972.77,0.99742,0.47102,0.99448,0.629,0.6576,0.65846,0.46318,1.12895,0.47716,1.07244,0.000283085,0.000283085,0.000283085
83,8070.15,0.99358,0.4652,0.99628,0.64631,0.64944,0.66087,0.4648,1.1282,0.47457,1.07093,0.000268938,0.000268938,0.000268938
84,8165.44,0.99008,0.46339,0.99273,0.62747,0.67076,0.65985,0.4645,1.12889,0.47229,1.07026,0.000254791,0.000254791,0.000254791
85,8261.36,0.98497,0.46435,0.98802,0.62083,0.67621,0.65903,0.46441,1.12764,0.4724,1.07023,0.000240644,0.000240644,0.000240644
86,8357.54,0.98733,0.45933,0.99121,0.63892,0.65547,0.65915,0.46425,1.12933,0.47634,1.07176,0.000226497,0.000226497,0.000226497
87,8454.17,0.97768,0.45935,0.98861,0.65724,0.64456,0.65877,0.46426,1.12915,0.4769,1.07175,0.000212349,0.000212349,0.000212349
88,8550.62,0.98635,0.4598,0.98795,0.65861,0.62966,0.65752,0.46281,1.12885,0.47849,1.07151,0.000198202,0.000198202,0.000198202
89,8647.15,0.97352,0.45563,0.98738,0.64985,0.64199,0.65691,0.4625,1.12782,0.47616,1.07315,0.000184055,0.000184055,0.000184055
90,8743.49,0.97487,0.45155,0.98528,0.63164,0.65149,0.65726,0.46233,1.13074,0.47619,1.07434,0.000169908,0.000169908,0.000169908
91,8838.64,0.95618,0.40563,0.9896,0.62611,0.65452,0.6561,0.45995,1.13611,0.47706,1.07711,0.000155761,0.000155761,0.000155761
92,8931.45,0.94687,0.39519,0.98218,0.64918,0.63217,0.65696,0.46117,1.13483,0.4776,1.07667,0.000141614,0.000141614,0.000141614
93,9023.35,0.94301,0.39258,0.98477,0.64218,0.64137,0.6572,0.46218,1.1331,0.47725,1.07556,0.000127467,0.000127467,0.000127467
94,9115.88,0.94437,0.39247,0.9784,0.65465,0.62983,0.65693,0.46266,1.13406,0.48004,1.07539,0.00011332,0.00011332,0.00011332
95,9209.76,0.93925,0.38809,0.9788,0.63958,0.64424,0.65747,0.46345,1.1336,0.47905,1.07483,9.91726e-05,9.91726e-05,9.91726e-05
96,9303.06,0.93236,0.38594,0.9766,0.65054,0.63638,0.65765,0.46333,1.13222,0.47965,1.07501,8.50255e-05,8.50255e-05,8.50255e-05
97,9396.11,0.93336,0.38471,0.97596,0.6361,0.64891,0.65767,0.46343,1.13198,0.47938,1.07549,7.08784e-05,7.08784e-05,7.08784e-05
98,9488.96,0.92864,0.3834,0.9751,0.63213,0.65013,0.65792,0.464,1.13242,0.48033,1.07634,5.67313e-05,5.67313e-05,5.67313e-05
99,9581.62,0.92473,0.38244,0.97221,0.6165,0.6547,0.65753,0.46349,1.13269,0.47997,1.07622,4.25842e-05,4.25842e-05,4.25842e-05
100,9674.52,0.92574,0.3811,0.97127,0.64364,0.63296,0.65782,0.46421,1.13269,0.48084,1.07604,2.84371e-05,2.84371e-05,2.84371e-05
